Frames,ThreadId,igToMmMsg_Send,Time,SensorId,RequestId,X,Y,Z,Roll,Pitch,Yaw,X Vel,Y Vel,Z Vel,RollVel,PitchVel,YawVel
54,140610502421504,true,1788547933.551970,2,19820,35.27,-116.64,15000.00,0.00,-10.28,26.63,0.0,0.0,0.0,0.0,0.0,0.0
54,140610502421504,false,1788547933.553,2,19821,-893.38,-59.99,-29.33,-26.64,-5.16,8.93,0.00,0.00,0.00,180.00,180.00,180.00
55,140610502421504,true,1788547933.568737,2,19821,35.27,-116.64,15000.00,0.00,-10.29,26.64,0.0,0.0,0.0,0.0,0.0,0.0
55,140610502421504,false,1788547933.570,2,19822,-893.23,-60.07,-29.31,-26.66,-5.16,8.93,0.00,0.00,0.00,180.00,180.00,180.00
56,140610502421504,true,1788547933.585402,2,19822,35.27,-116.64,15000.00,0.00,-10.29,26.66,0.0,0.0,0.0,0.0,0.0,0.0
56,140610502421504,false,1788547933.586,2,19824,-893.25,-60.18,-29.40,-26.68,-5.16,8.93,0.00,0.00,0.00,180.00,180.00,180.00
57,140610502421504,true,1788547933.602091,2,19824,35.27,-116.64,15000.00,0.00,-10.29,26.68,0.0,0.0,0.0,0.0,0.0,0.0
57,140610502421504,false,1788547933.603,2,19824,-893.11,-60.30,-29.37,-26.69,-5.17,8.93,0.00,0.00,0.00,180.00,180.00,180.00
58,140610502421504,true,1788547933.618574,2,19824,35.27,-116.64,15000.00,0.00,-10.30,26.69,0.0,0.0,0.0,0.0,0.0,0.0
59,140610502421504,true,1788547933.635387,2,19824,35.27,-116.64,15000.00,0.00,-10.30,26.69,0.0,0.0,0.0,0.0,0.0,0.0
59,140610502421504,false,1788547933.636,2,19826,-892.94,-60.56,-29.44,-26.73,-5.17,8.93,0.00,0.00,0.00,180.00,180.00,180.00
60,140610502421504,true,1788547933.651944,2,19826,35.27,-116.64,15000.00,0.00,-10.30,26.73,0.0,0.0,0.0,0.0,0.0,0.0
61,140610502421504,true,1788547933.668551,2,19826,35.27,-116.64,15000.00,0.00,-10.30,26.73,0.0,0.0,0.0,0.0,0.0,0.0
61,140610502421504,false,1788547933.670,2,19827,-892.83,-60.81,-29.28,-26.75,-5.17,8.89,0.00,0.00,0.00,180.00,180.00,180.00
62,140610502421504,true,1788547933.685243,2,19827,35.27,-116.64,15000.00,0.00,-10.27,26.75,0.0,0.0,0.0,0.0,0.0,0.0
62,140610502421504,false,1788547933.686,2,19827,-892.84,-60.89,-29.21,-26.74,-5.16,8.88,0.00,0.00,0.00,180.00,180.00,180.00
63,140610502421504,true,1788547933.701953,2,19827,35.27,-116.64,15000.00,0.00,-10.26,26.74,0.0,0.0,0.0,0.0,0.0,0.0
63,140610502421504,false,1788547933.703,2,19829,-892.74,-60.96,-29.13,-26.74,-5.16,8.85,0.00,0.00,0.00,180.00,180.00,180.00
64,140610502421504,true,1788547933.718781,2,19829,35.27,-116.64,15000.00,0.00,-10.23,26.74,0.0,0.0,0.0,0.0,0.0,0.0
64,140610502421504,false,1788547933.720,2,19829,-892.81,-60.98,-28.99,-26.74,-5.16,8.82,0.00,0.00,0.00,180.00,180.00,180.00
65,140610502421504,true,1788547933.735369,2,19829,35.27,-116.64,15000.00,0.00,-10.20,26.74,0.0,0.0,0.0,0.0,0.0,0.0
65,140610502421504,false,1788547933.736,2,19831,-892.71,-61.00,-29.02,-26.71,-5.15,8.83,0.00,0.00,0.00,180.00,180.00,180.00
66,140610502421504,true,1788547933.752472,2,19831,35.27,-116.64,15000.00,0.00,-10.20,26.71,0.0,0.0,0.0,0.0,0.0,0.0
67,140610502421504,true,1788547933.768830,2,19831,35.27,-116.64,15000.00,0.00,-10.20,26.71,0.0,0.0,0.0,0.0,0.0,0.0
67,140610502421504,false,1788547933.770,2,19832,-892.47,-61.07,-29.02,-26.70,-5.11,8.85,0.00,0.00,0.00,180.00,180.00,180.00
68,140610502421504,true,1788547933.785418,2,19832,35.27,-116.64,15000.00,0.00,-10.20,26.70,0.0,0.0,0.0,0.0,0.0,0.0
68,140610502421504,false,1788547933.786,2,19832,-892.44,-61.00,-29.01,-26.72,-5.12,8.83,0.00,0.00,0.00,180.00,180.00,180.00
69,140610502421504,true,1788547933.802084,2,19832,35.27,-116.64,15000.00,0.00,-10.19,26.72,0.0,0.0,0.0,0.0,0.0,0.0
69,140610502421504,false,1788547933.803,2,19834,-892.35,-61.01,-28.87,-26.70,-5.11,8.82,0.00,0.00,0.00,180.00,180.00,180.00
70,140610502421504,true,1788547933.818573,2,19834,35.27,-116.64,15000.00,0.00,-10.17,26.70,0.0,0.0,0.0,0.0,0.0,0.0
71,140610502421504,true,1788547933.835161,2,19834,35.27,-116.64,15000.00,0.00,-10.17,26.70,0.0,0.0,0.0,0.0,0.0,0.0
71,140610502421504,false,1788547933.836,2,19835,-892.24,-60.96,-28.68,-26.69,-5.09,8.77,0.00,0.00,0.00,180.00,180.00,180.00
72,140610502421504,true,1788547933.851911,2,19835,35.27,-116.64,15000.00,0.00,-10.12,26.69,0.0,0.0,0.0,0.0,0.0,0.0
73,140610502421504,true,1788547933.868624,2,19835,35.27,-116.64,15000.00,0.00,-10.12,26.69,0.0,0.0,0.0,0.0,0.0,0.0
73,140610502421504,false,1788547933.869,2,19836,-892.18,-60.97,-28.66,-26.68,-5.09,8.74,0.00,0.00,0.00,180.00,180.00,180.00
74,140610502421504,true,1788547933.885463,2,19836,35.27,-116.64,15000.00,0.00,-10.09,26.68,0.0,0.0,0.0,0.0,0.0,0.0
74,140610502421504,false,1788547933.886,2,19836,-892.25,-61.01,-28.67,-26.68,-5.09,8.72,0.00,0.00,0.00,180.00,180.00,180.00
75,140610502421504,true,1788547933.902195,2,19836,35.27,-116.64,15000.00,0.00,-10.08,26.68,0.0,0.0,0.0,0.0,0.0,0.0
75,140610502421504,false,1788547933.903,2,19838,-892.28,-61.08,-28.72,-26.68,-5.10,8.71,0.00,0.00,0.00,180.00,180.00,180.00
76,140610502421504,true,1788547933.918617,2,19838,35.27,-116.64,15000.00,0.00,-10.08,26.68,0.0,0.0,0.0,0.0,0.0,0.0
76,140610502421504,false,1788547933.920,2,19838,-892.38,-61.11,-28.72,-26.68,-5.11,8.72,0.00,0.00,0.00,180.00,180.00,180.00
77,140610502421504,true,1788547933.935270,2,19838,35.27,-116.64,15000.00,0.00,-10.08,26.68,0.0,0.0,0.0,0.0,0.0,0.0
77,140610502421504,false,1788547933.936,2,19840,-892.51,-61.28,-28.69,-26.70,-5.11,8.74,0.00,0.00,0.00,180.00,180.00,180.00
78,140610502421504,true,1788547933.951939,2,19840,35.27,-116.64,15000.00,0.00,-10.10,26.70,0.0,0.0,0.0,0.0,0.0,0.0
78,140610502421504,false,1788547933.953,2,19840,-892.59,-61.32,-28.79,-26.71,-5.13,8.75,0.00,0.00,0.00,180.00,180.00,180.00
79,140610502421504,true,1788547933.968773,2,19840,35.27,-116.64,15000.00,0.00,-10.12,26.71,0.0,0.0,0.0,0.0,0.0,0.0
79,140610502421504,false,1788547933.970,2,19842,-892.66,-61.44,-28.89,-26.72,-5.13,8.82,0.00,0.00,0.00,180.00,180.00,180.00
80,140610502421504,true,1788547933.985127,2,19842,35.27,-116.64,15000.00,0.00,-10.18,26.72,0.0,0.0,0.0,0.0,0.0,0.0
81,140610502421504,true,1788547934.002025,2,19842,35.27,-116.64,15000.00,0.00,-10.18,26.72,0.0,0.0,0.0,0.0,0.0,0.0
81,140610502421504,false,1788547934.003,2,19843,-892.67,-61.43,-29.18,-26.73,-5.13,8.88,0.00,0.00,0.00,180.00,180.00,180.00
82,140610502421504,true,1788547934.018663,2,19843,35.27,-116.64,15000.00,0.00,-10.24,26.73,0.0,0.0,0.0,0.0,0.0,0.0
82,140610502421504,false,1788547934.020,2,19843,-892.63,-61.45,-29.35,-26.74,-5.13,8.89,0.00,0.00,0.00,180.00,180.00,180.00
83,140610502421504,true,1788547934.035253,2,19843,35.27,-116.64,15000.00,0.00,-10.25,26.74,0.0,0.0,0.0,0.0,0.0,0.0
